Node,superkingdom,kingdom,phylum
60711, Eukaryota , Metazoa , Chordata 
237561, Eukaryota , Fungi , Ascomycota 
9823, Eukaryota , Metazoa , Chordata 
9555, Eukaryota , Metazoa , Chordata 
37293, Eukaryota , Metazoa , Chordata 
2715852, Eukaryota , Metazoa , Chordata 
9541, Eukaryota , Metazoa , Chordata 
39432, Eukaryota , Metazoa , Chordata 
9755, Eukaryota , Metazoa , Chordata 
9749, Eukaryota , Metazoa , Chordata 
29073, Eukaryota , Metazoa , Chordata 
9627, Eukaryota , Metazoa , Chordata 
40151, Eukaryota , Metazoa , Chordata 
30522, Eukaryota , Metazoa , Chordata 
9823, Eukaryota , Metazoa , Chordata 
5823, Eukaryota , Other, Apicomplexa 
9940, Eukaryota , Metazoa , Chordata 
9305, Eukaryota , Metazoa , Chordata 
30608, Eukaryota , Metazoa , Chordata 
9615, Eukaryota , Metazoa , Chordata 
9689, Eukaryota , Metazoa , Chordata 
74533, Eukaryota , Metazoa , Chordata 
8508, Eukaryota , Metazoa , Chordata 
9615, Eukaryota , Metazoa , Chordata 
10116, Eukaryota , Metazoa , Chordata 
10090, Eukaryota , Metazoa , Chordata 
665079, Eukaryota , Fungi , Ascomycota 
9646, Eukaryota , Metazoa , Chordata 
7227, Eukaryota , Metazoa , Arthropoda 
9258, Eukaryota , Metazoa , Chordata 
13616, Eukaryota , Metazoa , Chordata 
9796, Eukaryota , Metazoa , Chordata 
9544, Eukaryota , Metazoa , Chordata 
59463, Eukaryota , Metazoa , Chordata 
10029, Eukaryota , Metazoa , Chordata 
9595, Eukaryota , Metazoa , Chordata 
9785, Eukaryota , Metazoa , Chordata 
30611, Eukaryota , Metazoa , Chordata 
59729, Eukaryota , Metazoa , Chordata 
9601, Eukaryota , Metazoa , Chordata 
9598, Eukaryota , Metazoa , Chordata 
246409, Eukaryota , Fungi , Mucoromycota 
246409, Eukaryota , Fungi , Mucoromycota 
43179, Eukaryota , Metazoa , Chordata 
13735, Eukaryota , Metazoa , Chordata 
72004, Eukaryota , Metazoa , Chordata 
9685, Eukaryota , Metazoa , Chordata 
9669, Eukaryota , Metazoa , Chordata 
9925, Eukaryota , Metazoa , Chordata 
5833, Eukaryota , Other, Apicomplexa 
9606, Eukaryota , Metazoa , Chordata 
9606, Eukaryota , Metazoa , Chordata 
10116, Eukaryota , Metazoa , Chordata 
10036, Eukaryota , Metazoa , Chordata 
9606, Eukaryota , Metazoa , Chordata 
9606, Eukaryota , Metazoa , Chordata 
9606, Eukaryota , Metazoa , Chordata 
559292, Eukaryota , Fungi , Ascomycota 
559292, Eukaryota , Fungi , Ascomycota 
559292, Eukaryota , Fungi , Ascomycota 
9606, Eukaryota , Metazoa , Chordata 
10090, Eukaryota , Metazoa , Chordata 
6239, Eukaryota , Metazoa , Nematoda 
10090, Eukaryota , Metazoa , Chordata 
7227, Eukaryota , Metazoa , Arthropoda 
559292, Eukaryota , Fungi , Ascomycota 
9606, Eukaryota , Metazoa , Chordata 
284812, Eukaryota , Fungi , Ascomycota 
9606, Eukaryota , Metazoa , Chordata 
6239, Eukaryota , Metazoa , Nematoda 
6239, Eukaryota , Metazoa , Nematoda 
367110, Eukaryota , Fungi , Ascomycota 
3702, Eukaryota , Viridiplantae , Streptophyta 
9913, Eukaryota , Metazoa , Chordata 
9606, Eukaryota , Metazoa , Chordata 
9606, Eukaryota , Metazoa , Chordata 
6239, Eukaryota , Metazoa , Nematoda 
6239, Eukaryota , Metazoa , Nematoda 
