Node,superkingdom,kingdom
9606, Eukaryota , Metazoa 
559292, Eukaryota , Fungi 
10116, Eukaryota , Metazoa 
10090, Eukaryota , Metazoa 
9606, Eukaryota , Metazoa 
9555, Eukaryota , Metazoa 
60711, Eukaryota , Metazoa 
121759, Eukaryota , Fungi 
1868482, Eukaryota , Metazoa 
10036, Eukaryota , Metazoa 
9823, Eukaryota , Metazoa 
61853, Eukaryota , Metazoa 
9601, Eukaryota , Metazoa 
37293, Eukaryota , Metazoa 
9531, Eukaryota , Metazoa 
9568, Eukaryota , Metazoa 
9545, Eukaryota , Metazoa 
379532, Eukaryota , Metazoa 
61621, Eukaryota , Metazoa 
61622, Eukaryota , Metazoa 
39432, Eukaryota , Metazoa 
9597, Eukaryota , Metazoa 
9749, Eukaryota , Metazoa 
29073, Eukaryota , Metazoa 
9913, Eukaryota , Metazoa 
9925, Eukaryota , Metazoa 
30522, Eukaryota , Metazoa 
29139, Eukaryota , Metazoa 
9544, Eukaryota , Metazoa 
9541, Eukaryota , Metazoa 
30608, Eukaryota , Metazoa 
74533, Eukaryota , Metazoa 
8508, Eukaryota , Metazoa 
9823, Eukaryota , Metazoa 
10116, Eukaryota , Metazoa 
3702, Eukaryota , Viridiplantae 
9483, Eukaryota , Metazoa 
9646, Eukaryota , Metazoa 
59463, Eukaryota , Metazoa 
9986, Eukaryota , Metazoa 
9595, Eukaryota , Metazoa 
9785, Eukaryota , Metazoa 
10141, Eukaryota , Metazoa 
30611, Eukaryota , Metazoa 
59729, Eukaryota , Metazoa 
28377, Eukaryota , Metazoa 
43179, Eukaryota , Metazoa 
9598, Eukaryota , Metazoa 
9685, Eukaryota , Metazoa 
9669, Eukaryota , Metazoa 
7227, Eukaryota , Metazoa 
284812, Eukaryota , Fungi 
44689, Eukaryota , Other
10029, Eukaryota , Metazoa 
284593, Eukaryota , Fungi 
284811, Eukaryota , Fungi 
7955, Eukaryota , Metazoa 
8840, Eukaryota , Metazoa 
59894, Eukaryota , Metazoa 
53326, Eukaryota , Metazoa 
53326, Eukaryota , Metazoa 
53326, Eukaryota , Metazoa 
4155, Eukaryota , Viridiplantae 
7160, Eukaryota , Metazoa 
251400, Eukaryota , Metazoa 
1036723, Eukaryota , Other
1036724, Eukaryota , Other
1036725, Eukaryota , Other
1036727, Eukaryota , Other
5835, Eukaryota , Other
2015173, Eukaryota , Metazoa 
27457, Eukaryota , Metazoa 
5643, Eukaryota , Fungi 
8022, Eukaryota , Metazoa 
8022, Eukaryota , Metazoa 
2711, Eukaryota , Viridiplantae 
2711, Eukaryota , Viridiplantae 
2711, Eukaryota , Viridiplantae 
933084, Eukaryota , Fungi 
136037, Eukaryota , Metazoa 
6210, Eukaryota , Metazoa 
6211, Eukaryota , Metazoa 
3880, Eukaryota , Viridiplantae 
6198, Eukaryota , Metazoa 
36087, Eukaryota , Metazoa 
5949, Eukaryota , Other
3708, Eukaryota , Viridiplantae 
74873, Eukaryota , Metazoa 
68888, Eukaryota , Metazoa 
68888, Eukaryota , Metazoa 
407821, Eukaryota , Metazoa 
9606, Eukaryota , Metazoa 
9606, Eukaryota , Metazoa 
48698, Eukaryota , Metazoa 
34506, Eukaryota , Metazoa 
34506, Eukaryota , Metazoa 
885580, Eukaryota , Metazoa 
55661, Eukaryota , Metazoa 
441894, Eukaryota , Metazoa 
48698, Eukaryota , Metazoa 
1550645, Eukaryota , Metazoa 
94827, Eukaryota , Metazoa 
3659, Eukaryota , Viridiplantae 
28588, Eukaryota , Metazoa 
30085, Eukaryota , Metazoa 
30085, Eukaryota , Metazoa 
61180, Eukaryota , Metazoa 
6265, Eukaryota , Metazoa 
1028688, Eukaryota , Metazoa 
1028688, Eukaryota , Metazoa 
1028688, Eukaryota , Metazoa 
1028688, Eukaryota , Metazoa 
92519, Eukaryota , Metazoa 
51022, Eukaryota , Metazoa 
51022, Eukaryota , Metazoa 
745531, Eukaryota , Fungi 
644358, Eukaryota , Fungi 
64838, Eukaryota , Metazoa 
64838, Eukaryota , Metazoa 
237631, Eukaryota , Fungi 
212818, Eukaryota , Fungi 
1442369, Eukaryota , Fungi 
29730, Eukaryota , Viridiplantae 
109376, Eukaryota , Viridiplantae 
109376, Eukaryota , Viridiplantae 
53326, Eukaryota , Metazoa 
29172, Eukaryota , Metazoa 
40149, Eukaryota , Viridiplantae 
112780, Eukaryota , Metazoa 
49012, Eukaryota , Fungi 
215358, Eukaryota , Metazoa 
138278, Eukaryota , Fungi 
9606, Eukaryota , Metazoa 
1169540, Eukaryota , Other
983966, Eukaryota , Fungi 
6279, Eukaryota , Metazoa 
6248, Eukaryota , Metazoa 
6248, Eukaryota , Metazoa 
