Node,superkingdom,kingdom,phylum
9606, Eukaryota , Metazoa , Chordata 
559292, Eukaryota , Fungi , Ascomycota 
10116, Eukaryota , Metazoa , Chordata 
10090, Eukaryota , Metazoa , Chordata 
9606, Eukaryota , Metazoa , Chordata 
9555, Eukaryota , Metazoa , Chordata 
60711, Eukaryota , Metazoa , Chordata 
121759, Eukaryota , Fungi , Ascomycota 
1868482, Eukaryota , Metazoa , Chordata 
10036, Eukaryota , Metazoa , Chordata 
9823, Eukaryota , Metazoa , Chordata 
61853, Eukaryota , Metazoa , Chordata 
9601, Eukaryota , Metazoa , Chordata 
37293, Eukaryota , Metazoa , Chordata 
9531, Eukaryota , Metazoa , Chordata 
9568, Eukaryota , Metazoa , Chordata 
9545, Eukaryota , Metazoa , Chordata 
379532, Eukaryota , Metazoa , Chordata 
61621, Eukaryota , Metazoa , Chordata 
61622, Eukaryota , Metazoa , Chordata 
39432, Eukaryota , Metazoa , Chordata 
9597, Eukaryota , Metazoa , Chordata 
9749, Eukaryota , Metazoa , Chordata 
29073, Eukaryota , Metazoa , Chordata 
9913, Eukaryota , Metazoa , Chordata 
9925, Eukaryota , Metazoa , Chordata 
30522, Eukaryota , Metazoa , Chordata 
29139, Eukaryota , Metazoa , Chordata 
9544, Eukaryota , Metazoa , Chordata 
9541, Eukaryota , Metazoa , Chordata 
30608, Eukaryota , Metazoa , Chordata 
74533, Eukaryota , Metazoa , Chordata 
8508, Eukaryota , Metazoa , Chordata 
9823, Eukaryota , Metazoa , Chordata 
10116, Eukaryota , Metazoa , Chordata 
3702, Eukaryota , Viridiplantae , Streptophyta 
9483, Eukaryota , Metazoa , Chordata 
9646, Eukaryota , Metazoa , Chordata 
59463, Eukaryota , Metazoa , Chordata 
9986, Eukaryota , Metazoa , Chordata 
9595, Eukaryota , Metazoa , Chordata 
9785, Eukaryota , Metazoa , Chordata 
10141, Eukaryota , Metazoa , Chordata 
30611, Eukaryota , Metazoa , Chordata 
59729, Eukaryota , Metazoa , Chordata 
28377, Eukaryota , Metazoa , Chordata 
43179, Eukaryota , Metazoa , Chordata 
9598, Eukaryota , Metazoa , Chordata 
9685, Eukaryota , Metazoa , Chordata 
9669, Eukaryota , Metazoa , Chordata 
7227, Eukaryota , Metazoa , Arthropoda 
284812, Eukaryota , Fungi , Ascomycota 
44689, Eukaryota , Other, Evosea 
10029, Eukaryota , Metazoa , Chordata 
284593, Eukaryota , Fungi , Ascomycota 
284811, Eukaryota , Fungi , Ascomycota 
7955, Eukaryota , Metazoa , Chordata 
8840, Eukaryota , Metazoa , Chordata 
59894, Eukaryota , Metazoa , Chordata 
53326, Eukaryota , Metazoa , Nematoda 
53326, Eukaryota , Metazoa , Nematoda 
53326, Eukaryota , Metazoa , Nematoda 
4155, Eukaryota , Viridiplantae , Streptophyta 
7160, Eukaryota , Metazoa , Arthropoda 
251400, Eukaryota , Metazoa , Arthropoda 
1036723, Eukaryota , Other, Apicomplexa 
1036724, Eukaryota , Other, Apicomplexa 
1036725, Eukaryota , Other, Apicomplexa 
1036727, Eukaryota , Other, Apicomplexa 
5835, Eukaryota , Other, Apicomplexa 
2015173, Eukaryota , Metazoa , Arthropoda 
27457, Eukaryota , Metazoa , Arthropoda 
5643, Eukaryota , Fungi , Basidiomycota 
8022, Eukaryota , Metazoa , Chordata 
8022, Eukaryota , Metazoa , Chordata 
2711, Eukaryota , Viridiplantae , Streptophyta 
2711, Eukaryota , Viridiplantae , Streptophyta 
2711, Eukaryota , Viridiplantae , Streptophyta 
933084, Eukaryota , Fungi , Basidiomycota 
136037, Eukaryota , Metazoa , Arthropoda 
6210, Eukaryota , Metazoa , Platyhelminthes 
6211, Eukaryota , Metazoa , Platyhelminthes 
3880, Eukaryota , Viridiplantae , Streptophyta 
6198, Eukaryota , Metazoa , Platyhelminthes 
36087, Eukaryota , Metazoa , Nematoda 
5949, Eukaryota , Other, Ciliophora 
3708, Eukaryota , Viridiplantae , Streptophyta 
74873, Eukaryota , Metazoa , Arthropoda 
68888, Eukaryota , Metazoa , Nematoda 
68888, Eukaryota , Metazoa , Nematoda 
