Nom, Kingdom, Division
Tortella, Plantae, Bryophyta
Romalea, Animalia, Arthropoda
Cirolanides, Animalia, Arthropoda
Acontias, Animalia, Chordata
Graphiurus, Animalia, Chordata
Psacothea, Animalia, Arthropoda
Eichhornia, Plantae, Magnoliophyta
Pineus, Plantae, Pinopsida
Galeopsis, Plantae, Mangoliophyta
Stephanocyclus, Animalia, Arthropoda
Cylindera, Animalia, Arthropoda
Miltoniopsis, Plantae, Magnoliophyta
Parascombrops, Animalia, Chordata
Busycotypus, Animalia, Chordata
Potamorrhaphis, Animalia, Chordata
Pleurocordyceps, Fungi, Ascomycota
Sphodros, Animalia, Arthropoda
Antrostomus, Animalia, Chordata
Caripeta, Animalia, Chordata
Watsonia, Plantae, Magnoliophyta
Monilinia, Fungi, Ascomycota
Astylosternus, Animalia, Chordata
Rhampholeon, Animalia, Chordata
Sabethes, Animalia, Arthropoda
Diphasiastrum, Plantae, Lycopodiophyta
Batrachostomus, Animalia, Chordata
Nectria, Fungi, Ascomycota
Tetropium, Animalia, Arthropoda
Yoldia, Animalia, Mollusca
Saccharum, Plantae, Magnoliophyta
Mesosphaerum, Plantae, Magnoliophyta
Tadarida, Animalia, Chordata
Bodianus, Animalia, Chordata
Solenosmilia, Animalia, Cnidaria
Brassia, Plantae, Magnoliophyta
Bungarus, Animalia, Chordata
Anarhichas, Animalia, Chordata
Sympetrum, Animalia, Arthropoda
Macrotyloma, Plantae, Magnoliophyta
Oomycete-like, Fungi, Oomycota
Deilephila, Animalia, Arthropoda
Arachis, Plantae, Magnoliophyta
Derocalymma, Animalia, Chordata
Osmunda, Plantae, Pteridophyta
Paysandisia, Animalia, Arthropoda
Urochela, Animalia, Mollusca
Tabernanthe, Plantae, Magnoliophyta
Liogluta, Animalia, Arthropoda
Testudinalia, Animalia, Chordata
Tropidocarpum, Plantae, Magnoliophyta
Paragnetina, Animalia, Arthropoda
Datana, Animalia, Arthropoda
Cyprogenia, Animalia, Mollusca
Aplodinotus, Animalia, Chordata
Prognathodes, Animalia, Chordata
Chamaecyparis, Plantae, Pinopsida
Pterophylla, Animalia, Arthropoda
Eucarida, Animalia, Arthropoda
Muscardinus, Animalia, Chordata
Cherax, Animalia, Arthropoda
Pyura, Animalia, Chordata
Linnaea, Plantae, Magnoliophyta
Trygonoptera, Animalia, Chordata
Mytilisepta, Animalia, Mollusca
Luciola, Animalia, Arthropoda
Bunolagus, Animalia, Chordata
Wallabia, Animalia, Chordata
Rena, Animalia, Chordata
Porodaedalea, Fungi, Basidiomycota
Megoura, Animalia, Arthropoda
Eurosta, Animalia, Arthropoda
Polytomella, Protista, Euglenozoa
Rhynchophorus, Animalia, Arthropoda
Megisto, Animalia, Arthropoda
Nesogale, Animalia, Chordata
Stictoleptura, Animalia, Arthropoda
Mesobuthus, Animalia, Arthropoda
Arawacus, Animalia, Chordata
Altolamprologus, Animalia, Chordata
Gymnodraco, Animalia, Chordata
Trichodiadema, Plantae, Angiosperms
Jensenia, Animalia, Chordata
Leptosomus, Animalia, Chordata
Pterostichus, Animalia, Arthropoda
Vitacea, Animalia, Chordata
Trientalis, Plantae, Angiosperms
Conostylis, Plantae, Angiosperms
Zasmidium, Fungi, Ascomycota
Elseyornis, Animalia, Chordata
Sminthurus, Animalia, Arthropoda
Guillardia, Protista, Cryptophyta
Exorista, Animalia, Arthropoda
Metallura, Animalia, Chordata
Aletris, Plantae, Angiosperms
Sousa, Animalia, Chordata
Apatides, Animalia, Arthropoda
Saara, Animalia, Chordata
Sedum, Plantae, Angiosperms
Lasiodora, Animalia, Arthropoda
Phanerodontia, Animalia, Chordata
Terrapene, Animalia, Chordata
Xerus, Animalia, Chordata
Davidia, Plantae, Angiosperms
Zootoca, Animalia, Chordata
Calcinus, Animalia, Arthropoda
Hoodi, Plantae, Magnoliophyta
Hyles, Animalia, Arthropoda
Beta, Plantae, Angiosperms
Loris, Animalia, Chordata
Aratinga, Animalia, Chordata
Alvinocaris, Animalia, Arthropoda
Isoparorchis, Animalia, Platyhelminthes
Morelia, Animalia, Chordata
Onchocerca, Animalia, Nematoda
Daphne, Plantae, Angiosperms
Westerdykella, Fungi, Ascomycota
Macrotus, Animalia, Chordata
Zaluzania, Plantae, Angiosperms
Spigelia, Plantae, Angiosperms
Piranga, Animalia, Chordata
Peucaea, Animalia, Chordata
Ancylostoma, Animalia, Nematoda
Mastomys, Animalia, Chordata
Neoaliturus, Animalia, Arthropoda
Dacnomys, Animalia, Chordata
Austrelaps, Animalia, Chordata
Tarsiger, Animalia, Chordata
Equisetum, Plantae, Pteridophyta
Ictalurus, Animalia, Chordata
Hypophthalmichthys, Animalia, Chordata
Raphus, Animalia, Chordata
Diomedea, Animalia, Chordata
Borago, Plantae, Angiosperms
Lepidapion, Animalia, Arthropoda
Paraleptuca, Animalia, Chordata
Dactylellina, Fungi, Ascomycota
Eutropis, Animalia, Chordata
Redunca, Animalia, Chordata
Diapheromera, Animalia, Arthropoda
Dolycoris, Animalia, Arthropoda
Hemiramphus, Animalia, Chordata
Lionycteris, Animalia, Chordata
Drepanornis, Animalia, Chordata
Grahamia, Animalia, Chordata
Eucometis, Animalia, Arthropoda
Trinycteris, Animalia, Chordata
Dasiphora, Plantae, Angiosperms
Basella, Plantae, Angiosperms
Batomys, Animalia, Chordata
Ansellia, Plantae, Angiosperms
Capnia, Animalia, Arthropoda
