Node,"['Kingdom', 'N', 'C']"
648330,"['V', 'Aedes', 'AalDNV']"
10804,"['V', 'Adeno-associated', 'AAV-2']"
648242,"['V', 'Adeno-associated', 'AAV-2']"
3053407,"['E', 'Abaeis', ""Boisduval's""]"
118452,"['E', 'Abacion', 'Millipede']"
3053408,"['E', 'Abaeis', 'Mexican']"
72259,"['E', 'Abaeis', 'Sleepy']"
102642,"['E', 'Abax', 'Ground']"
392897,"['E', 'Abalistes', 'Starry']"
75332,"['E', 'Abbottina', 'Chinese']"
515833,"['E', 'Abdopus', 'Algae']"
56673,"['B', 'Antarctic', '']"
180068,"['E', 'Abelia', 'Chinese']"
183219,"['E', 'Abelmoschus', 'Native']"
105883,"['E', 'Abelia', 'Glossy']"
183220,"['E', 'Abelmoschus', 'Sweet']"
1241371,"['V', 'Abalone', 'AbHV']"
45372,"['E', 'Abies', 'Edeltanne']"
90345,"['E', 'Abies', 'Balsam']"
123605,"['E', 'Abies', 'Baishan']"
66168,"['E', 'Abies', 'Bristle-cone']"
97173,"['E', 'Abies', 'White']"
46125,"['B', 'Abiotrophia', '']"
78260,"['E', 'Abies', 'Momi']"
97172,"['E', 'Abies', 'Fraser']"
473868,"['E', 'Abisara', 'Judy']"
46611,"['E', 'Abies', 'Grand']"
97168,"['E', 'Abies', 'Neddle']"
78261,"['E', 'Abies', 'Nikko']"
97170,"['E', 'Abies', 'Korean']"
34340,"['E', 'Abies', 'Subalpine']"
3320,"['E', 'Abies', 'California']"
78263,"['E', 'Abies', ""Marie's""]"
97176,"['E', 'Abies', 'Sicilian']"
97177,"['E', 'Abies', 'Caucasian']"
78264,"['E', 'Abies', 'Sakhalin']"
78262,"['E', 'Abies', 'Veitch']"
283347,"['E', 'Ablepharus', ""Budak's""]"
129035,"['E', 'Ablennes', 'Flat']"
245592,"['E', 'Ablepharus', 'Snake-eyed']"
446561,"['V', 'Australian', 'ABLV']"
446562,"['V', 'Australian', 'ABLV']"
10816,"['V', 'Abutilon', 'AbMV']"
1217067,"['V', 'Acute', 'ABPV']"
212429,"['E', 'Abroscelis', 'Tiger']"
89096,"['E', 'Abrothrix', 'Andean']"
108855,"['E', 'Abrocoma', ""Bennett's""]"
38527,"['E', 'Abramis', 'Freshwater']"
278977,"['E', 'Abronia', 'Terrestrial']"
241142,"['E', 'Abrothrix', ""Jelski's""]"
29094,"['E', 'Abrothrix', 'Long-haired']"
29098,"['E', 'Abrothrix', 'Olive']"
49579,"['E', 'Abrophyllum', 'Native']"
3816,"['E', 'Abrus', 'Indian']"
190335,"['E', 'Abraxas', 'Clouded']"
4829,"['E', 'Absidia', 'Pin']"
126712,"['E', 'Absidia', '']"
50731,"['E', 'Abudefduf', 'Sergeant']"
80948,"['E', 'Abudefduf', 'Scissortail']"
3631,"['E', 'Abutilon', 'Velvet-leaf']"
192871,"['E', 'Abudefduf', 'Indo-Pacific']"
437444,"['V', 'Acidianus', 'ABV']"
654911,"['V', 'Acidianus', 'ABV']"
61637,"['E', 'Abyssocottus', 'Baikalian']"
8605,"['E', 'Acanthophis', 'Common']"
258588,"['E', 'Acanthoscelides', 'Bean']"
185140,"['E', 'Acanthospermum', 'Paraguayan']"
157584,"['E', 'Acanthurus', 'Ocean']"
119680,"['E', 'Acanthopagrus', 'Picnic']"
200166,"['E', 'Acanthidops', 'Peg-billed']"
425510,"['E', 'Acanthocobitis', 'Mottled']"
339859,"['E', 'Acanthaster', 'Short-spined']"
8179,"['E', 'Acanthopagrus', 'Australian']"
392908,"['E', 'Acanthaluteres', 'Spiny-tailed']"
5755,"['E', 'Acanthamoeba', 'Amoeba']"
157585,"['E', 'Acanthurus', 'Blue']"
1257118,"['E', 'Acanthamoeba', '']"
51758,"['E', 'Acanthurus', 'Doctorfish']"
357281,"['E', 'Acantopsis', 'Horseface']"
256091,"['E', 'Acalypha', 'California']"
126420,"['E', 'Acanthochitona', 'Chiton']"
3809,"['E', 'Acacia', 'Formosa']"
52216,"['E', 'Acanthosaura', 'Mountain']"
1310284,"['E', 'Acanthosoma', 'Shield']"
