3053407, Animalia, Arthropoda
118452, Animalia, Chordata
3053408, Animalia, Arthropoda
72259, Animalia, Arthropoda
102642, Animalia, Arthropoda
392897, Animalia, Chordata
75332, Animalia, Chordata
515833, Animalia, Mollusca
180068, Plantae, Angiosperms
183219, Plantae, Angiosperms
105883, Plantae, Angiosperms
183220, Plantae, Angiosperms
45372, Plantae, Pinophyta
90345, Plantae, Pinophyta
123605, Plantae, Pinophyta
66168, Plantae, Pinophyta
97173, Plantae, Pinophyta
78260, Plantae, Pinophyta
97172, Plantae, Pinophyta
473868, Animalia, Arthropoda
46611, Plantae, Pinophyta
97168, Plantae, Pinophyta
78261, Plantae, Pinophyta
97170, Plantae, Pinophyta
34340, Plantae, Pinophyta
3320, Plantae, Pinophyta
78263, Plantae, Pinophyta
97176, Plantae, Pinophyta
97177, Plantae, Pinophyta
78264, Plantae, Pinophyta
78262, Plantae, Pinophyta
283347, Animalia, Chordata
129035, Animalia, Chordata
245592, Animalia, Chordata
212429, Animalia, Arthropoda
89096, Animalia, Chordata
108855, Animalia, Chordata
38527, Animalia, Chordata
278977, Animalia, Chordata
241142, Animalia, Chordata
29094, Animalia, Chordata
29098, Animalia, Chordata
49579, Plantae, Angiosperms
3816, Plantae, Angiosperms
190335, Animalia, Arthropoda
4829, Fungi, Zygomycota
126712, Fungi, Zygomycota
50731, Animalia, Chordata
80948, Animalia, Chordata
3631, Plantae, Angiosperms
192871, Animalia, Chordata
61637, Animalia, Chordata
8605, Animalia, Chordata
258588, Animalia, Arthropoda
185140, Plantae, Angiosperms
157584, Animalia, Chordata
119680, Animalia, Chordata
200166, Animalia, Arthropoda
425510, Animalia, Chordata
339859, Animalia, Echinodermata
8179, Animalia, Chordata
392908, Animalia, Chordata
5755, Protista, Amoebozoa
157585, Animalia, Chordata
1257118, Protista, Amoebozoa
51758, Animalia, Chordata
357281, Animalia, Chordata
256091, Plantae, Angiosperms
126420, Animalia, Mollusca
3809, Plantae, Angiosperms
52216, Animalia, Chordata
1310284, Animalia, Arthropoda
136140, Animalia, Arthropoda
271173, Animalia, Arthropoda
938165, Animalia, Chordata
121031, Animalia, Arthropoda
241842, Plantae, Angiosperms
111511, Animalia, Chordata
44213, Animalia, Porifera
54769, Animalia, Chordata
115339, Animalia, Arthropoda
1129268, Animalia, Arthropoda
75013, Animalia, Chordata
90719, Animalia, Chordata
117190, Animalia, Chordata
8177, Animalia, Chordata
459747, Animalia, Chordata
483362, Animalia, Chordata
85306, Animalia, Arthropoda
78687, Animalia, Arthropoda
1110371, Animalia, Chordata
224085, Plantae, Angiosperms
138032, Plantae, Angiosperms
1108046, Animalia, Arthropoda
175431, Animalia, Chordata
12913, Animalia, Chordata
175432, Animalia, Chordata
200917, Animalia, Arthropoda
204797, Animalia, Arthropoda
1264770, Animalia, Arthropoda
335913, Animalia, Arthropoda
452306, Animalia, Arthropoda
71285, Animalia, Mollusca
133434, Animalia, Echinodermata
5757, Protista, Amoebozoa
173075, Animalia, Arthropoda
32204, Plantae, Angiosperms
1211104, Animalia, Arthropoda
266413, Animalia, Chordata
57776, Animalia, Chordata
72011, Animalia, Chordata
239748, Animalia, Chordata
66546, Animalia, Arthropoda
642423, Animalia, Chordata
13323, Animalia, Chordata
150342, Animalia, Mollusca
412080, Animalia, Chordata
175434, Animalia, Chordata
136180, Animalia, Arthropoda
175435, Animalia, Chordata
385555, Animalia, Mollusca
753143, Other, Other
6277, Animalia, Nematoda
133117, Animalia, Arthropoda
478375, Animalia, Arthropoda
261198, Animalia, Chordata
8957, Animalia, Chordata
56330, Animalia, Chordata
35845, Plantae, Chlorophyta
57649, Plantae, Magnoliophyta
66205, Plantae, Magnoliophyta
1285428, Animalia, Chordata
35846, Plantae, Chlorophyta
376739, Animalia, Chordata
505845, Animalia, Chordata
168566, Plantae, Magnoliophyta
4023, Plantae, Magnoliophyta
168567, Plantae, Magnoliophyta
35862, Plantae, Chlorophyta
376893, Animalia, Chordata
